Market Store Name,Carrier - Service Selected,Market - Store Name,Order - Number,Ship To - Country,Ship To - Postal Code,Shipment - Weight (Oz),Shipment - Zone,Sum - Total of Line Item Quantity,Shipping Paid,Tracking Number,Length,Width,Height,Insurance,Dim Weight Applied,Dim Weight,Billable Weight oz,Rounded Oz,Shipping Rate,Peak Surcharges,Date - Shipped Date
Halftee,DHL SM Parcel Expedited,Halftee,HT189822,US,22405-3360,7.1,7,2,6.97,420224059361211015300886826583,10,13,1,,Yes,13,13,8,7.45,0,2025-10-09
Halftee,DHL SM Parcel Expedited,Halftee,HT189874,US,22844-2080,6,7,1,0,420228449361211015300887439300,10,13,1,,Yes,13,13,6,7.45,0,2025-10-10
Halftee,DHL SM Parcel Expedited,Halftee,HT189833,US,23236-2447,2.6,7,2,6.97,420232369361211015300886722656,10,13,1,,Yes,13,13,3,7.45,0,2025-10-09
Halftee,DHL SM Parcel Expedited,Halftee,HT189679,US,23221-2428,9.8,7,4,1.98,420232219361211015300884687346,10,13,1,,Yes,13,13,10,7.45,0,2025-10-06
Halftee,DHL SM Parcel Expedited,Halftee,HT189881,US,33029-5142,5,8,1,6.97,420330299361211015300887434893,10,13,1,,Yes,13,13,5,7.65,0,2025-10-10
Halftee,DHL SM Parcel Expedited,Halftee,HT189879,US,33029-5142,4.8,8,1,6.97,420330299361211015300887705177,10,13,1,,Yes,13,13,5,7.65,0,2025-10-10
Halftee,DHL SM Parcel Expedited,Halftee,HT189709,US,33952-4413,2.7,8,2,6.97,420339529361211015300886855781,10,13,1,,Yes,13,13,3,7.65,0,2025-10-09
Halftee,DHL SM Parcel Expedited,Halftee,HT189863,US,8223,14.3,8,2,6.97,420082239361211015300887434923,10,13,1,,Yes,13,15,15,7.65,0,2025-10-10
Halftee,UPSÂ® Ground,Halftee,HT189836,US,04092-3205,17,8,6,1.98,1ZH594030305542463,10,13,1,0,Yes,13,32,32,13.83,0,2025-10-09
Halftee,DHL SM Parcel Expedited,Halftee,HT189717,US,23693-2963,4.8,8,1,6.97,420236939361211015300884687261,10,13,1,,Yes,13,13,5,7.65,0,2025-10-06
Halftee,UPSÂ® Ground,Halftee,HT189736,US,25213-7733,23.9,7,7,1.98,1ZH594030313339445,10,13,1,0,Yes,13,32,32,12.7,0,2025-10-06
Halftee,UPSÂ® Ground,Halftee,HT189712,US,06010-5415,25.9,8,5,1.98,1ZH594030311217268,10,13,1,0,Yes,13,32,32,13.83,0,2025-10-06
Halftee,DHL SM Parcel Expedited,Halftee,111-8036843-4150659,US,06119-1209,3,8,1,0,420061199361211015300886831037,10,13,1,,Yes,13,13,3,7.65,0,2025-10-09
Halftee,DHL SM Parcel Expedited,Halftee,HT189853,US,02072-4146,15,8,2,6.97,420020729361211015300887685653,10,13,1,,Yes,13,15,15,7.65,0,2025-10-10
Halftee,DHL SM Parcel Expedited,Halftee,HT189854,US,55376-2220,15.7,5,4,1.98,420553769361211015300887439294,10,13,1,,Yes,13,16,16,9.08,0,2025-10-10
Halftee,DHL SM Parcel Expedited,Halftee,HT189719,US,55372-8893,15,5,5,6.97,420553729361211015300884825427,10,13,1,,Yes,13,15,15,7.02,0,2025-10-06
Halftee,USPS Ground Advantage,Halftee,HT189321,US,56425-9729,8,5,3,4.99,9400150206217313724629,10,13,1,0,No,13,8,8,4.74,0,2025-10-06
Halftee,DHL SM Parcel Expedited,Halftee,HT189665,US,60190-1120,10.1,6,3,1.98,420601909361211015300886875635,10,13,1,,Yes,13,13,11,7.27,0,2025-10-09
Halftee,DHL SM Parcel Expedited,Halftee,HT189878,US,35243-2819,4,6,1,6.97,420352439361211015300887581627,10,13,1,,Yes,13,13,4,7.27,0,2025-10-10
Halftee,DHL SM Parcel Expedited,Halftee,HT189731,US,36869-7711,25.4,7,9,1.98,420368699361211015300884682945,10,13,1,,Yes,13,32,32,12.7,0,2025-10-06
Halftee,DHL SM Parcel Expedited,Halftee,HT189871,US,37057-5501,3.8,6,2,6.97,420370579361211015300887581597,10,13,1,,Yes,13,13,4,7.27,0,2025-10-10
Halftee,DHL SM Parcel Expedited,Halftee,HT189608,US,37027-5713,0.3,6,2,6.97,420370279361211015300884604077,10,13,1,,Yes,13,13,1,7.27,0,2025-10-06
Halftee,DHL SM Parcel Expedited,Halftee,HT189868,US,48154-4475,5.1,7,2,6.97,420481549361211015300887503094,10,13,1,,Yes,13,13,6,7.45,0,2025-10-10
Halftee,DHL SM Parcel Expedited,Halftee,HT189737,US,49203-1578,3,6,1,6.97,420492039361211015300884820989,10,13,1,,Yes,13,13,3,7.27,0,2025-10-06
Halftee,DHL SM Parcel Expedited,Halftee,HT189750,US,50315-7407,0.8,5,1,6.97,420503159361211015300884604060,10,13,1,,Yes,13,13,1,7.02,0,2025-10-06
Halftee,DHL SM Parcel Expedited,Halftee,HT189704,US,53215-3935,5.8,6,1,6.97,420532159361211015300884815954,10,13,1,,Yes,13,13,6,7.27,0,2025-10-06
Halftee,DHL SM Parcel Expedited,Halftee,HT189875,US,28306-7596,12,7,1,0,420283069361211015300887581580,10,13,1,,Yes,13,13,12,7.45,0,2025-10-10
Halftee,DHL SM Parcel Expedited,Halftee,HT189840,US,32309-3331,11,7,4,0,420323099361211015300887581559,10,13,1,,Yes,13,13,11,7.45,0,2025-10-10
Halftee,UPSÂ® Ground,Halftee,HT189663,US,37122-2190,22.7,6,4,1.98,1ZH594030322879443,10,13,1,0,Yes,13,32,32,12.11,0,2025-10-06
